# BEAST v1.10.1
# Generated Wed Aug 22 09:35:54 CEST 2018 [seed=1534923353837]
# -beagle_SSE -overwrite YFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(americas)	age(americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.frequencies1	CP1.frequencies2	CP1.frequencies3	CP1.frequencies4	CP2.frequencies1	CP2.frequencies2	CP2.frequencies3	CP2.frequencies4	CP3.frequencies1	CP3.frequencies2	CP3.frequencies3	CP3.frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
500000	-5878.255582758286	-574.4545430751948	-5303.801039683091	1933.0065622223674	75.99343777763261	10271.92703053994	475.0490502744951	1533.9509497255049	889.2977785304888	21.086307365079712	3.8974975644941847	12.044748494040785	0.23773926653993618	0.27213913642742615	0.3148634208359874	0.17525817619665016	0.3363389350908592	0.24436804206115045	0.2379601866179082	0.18133283623008178	0.20989420102496079	0.2540176077973343	0.24218442478370208	0.29390376639400423	0.13245469478452326	0.15395309165771373	2.534841956873878	0.38948774737297465	0.05742374618538906	2.553088506441636	2.3668987302538508E-4	1.2580695151141565E-4	1.849355544790331E-4	0.5231990005416975	0.006417752522466017	-5303.801039683091	0.0	-561.2503802490206
550000	-5839.18966908289	-548.6392809513053	-5290.550388131584	943.5318896737662	1065.4681103262337	6386.19017753638	315.2086180988478	1693.7913819011521	698.4603530677349	12.003734794663545	5.651077503093734	12.964660151833968	0.36552686290942793	0.1996936763537325	0.2909277508621228	0.14385170987471668	0.2938688895951464	0.24033400159439564	0.22433472761779275	0.2414623811926647	0.2280675631576723	0.24508459828246812	0.25838096019249474	0.2684668783673662	0.29194925983222286	0.5996488030536772	3.1897304974693603	0.4082187554978064	0.09555163780794343	2.4962296066942495	3.331446611805152E-4	2.883360667187495E-4	2.6803413151745936E-4	0.6402735359917384	-0.016310044988348746	-5290.550388131584	0.0	-533.6186238267815
600000	-5842.514512006316	-544.8073437804791	-5297.707168225837	1369.5024464799853	639.4975535200147	7304.562409936035	322.4708199415151	1686.5291800584848	668.7812940358423	13.25915622376076	5.298300600762499	13.370489654926498	0.27991862042854393	0.23803773973011996	0.32850840734823594	0.1535352324931	0.30812147294701925	0.1705557666145955	0.269736585081771	0.25158617535661354	0.23101947250347143	0.2577118148937778	0.2239031014611804	0.28736561114157166	0.1783192959946457	0.17079992076271086	2.4650761058030946	0.2699954153351599	0.1263922030692198	2.6036123815956187	3.4730012536847806E-4	3.03470961542608E-4	2.3665454908199516E-4	0.7886253036689792	0.10819617222963132	-5297.707168225837	0.0	-531.8379439125393
650000	-5872.526587174241	-578.0480438278831	-5294.4785433463585	1259.2561511257534	749.7438488742466	8882.698639767594	522.3310357901045	1486.6689642098954	1115.185689319073	8.195838082719959	9.889011124515086	12.35502174698424	0.2810171874118808	0.27115118880974376	0.2837258871700155	0.16410573660835978	0.2832256566852311	0.2148880363280475	0.2608339337857715	0.24105237320094933	0.21206351433081883	0.2646296774632514	0.22253693938550562	0.30076986882042533	0.2167063347036987	0.25683982098317504	1.5184048879460346	0.5140014324523878	0.0881039976135794	2.3978945699340315	2.061986827445184E-4	1.1042089785477449E-4	2.0910442781044684E-4	0.5695526630240343	0.06053956706294746	-5294.4785433463585	0.0	-567.2839133792263
700000	-5830.145608052537	-546.9432110279172	-5283.202397024619	882.7893321490063	1126.2106678509936	5799.9079239004495	323.6778166818573	1685.3221833181428	763.3287299162766	14.556374063900627	8.174602385465283	12.524399081115407	0.20836335998634	0.27606570261890717	0.34670807095352446	0.16886286644122825	0.3102782239842297	0.20142375471513635	0.2640194864248897	0.22427853487574373	0.21315481845699474	0.25839688977016356	0.25287985923348943	0.2755684325393533	0.24333146679367068	0.48099917792927527	1.8562844834116357	0.3858827982335742	0.09395892760731084	2.5201582741591135	4.104809058769064E-4	3.2146935606364955E-4	3.337856066184874E-4	0.6579336035244034	-0.029464050427182604	-5283.202397024619	0.0	-533.5193589594704
750000	-5847.671306263801	-550.6433487288139	-5297.027957534987	942.3182728256132	1066.6817271743867	6147.53676149965	300.89288499482615	1708.107115005174	878.895139092162	8.915170291041402	3.90656190195821	10.496092780375417	0.21447956972975632	0.2693716478413018	0.3592545208762007	0.15689426155274103	0.30507550531986444	0.21684240308301336	0.23968920242138228	0.23839288917573917	0.21247515755215546	0.23802431920559242	0.23087146788662397	0.31862905535562924	0.23573076952633473	0.6771354607637515	1.8387567770702489	0.45263614930330653	0.13945182385121715	2.4079120268454757	3.0332934463843766E-4	1.727070039004542E-4	3.1097164350535724E-4	0.5951869092879606	0.07582069153868434	-5297.027957534987	0.0	-539.7888074956061
800000	-5839.784161098608	-548.8505465486022	-5290.933614550006	1081.746077541585	927.253922458415	6582.913228686899	203.30705439198562	1805.6929456080143	795.8359714470455	12.30520192723509	2.8993001297798964	12.92951076223499	0.28361534939496796	0.2441931211860012	0.32177295653133203	0.15041857288769886	0.3082386605497572	0.23739776799613616	0.23277390467342826	0.2215896667806778	0.24642442387401342	0.20160860158972416	0.24451890946076743	0.3074480650754958	0.2003986739176377	0.38210168727948207	2.1062461377778923	0.4433933783910935	0.12647914109190747	2.4301274805169957	3.107425302224144E-4	2.580151055139732E-4	2.9847127318061064E-4	0.7659302113303812	0.04546680848545444	-5290.933614550006	0.0	-537.4034992255959
850000	-5854.761813537692	-552.926634016178	-5301.835179521514	978.3098805772458	1030.6901194227542	6242.105959558462	228.13483097030763	1780.8651690296924	770.0017579029433	14.152984909959743	3.665114157123666	13.197567883640877	0.25738427933288077	0.30215558434594625	0.2601019981953887	0.18035813812578425	0.288866561724946	0.22161187785746478	0.26195001899062237	0.22757154142696603	0.20734401263774638	0.2782065998092043	0.22512503158226166	0.28932435597078854	0.2441908204431963	0.298589845014698	3.2444835952761455	0.3837113482150375	0.08613807566023479	2.5301505761247247	3.5766595328284807E-4	2.5224897655276953E-4	2.779387929881259E-4	0.6441397645118038	-0.028240153844769314	-5301.835179521514	0.0	-538.4493936685508
900000	-5804.218109409285	-522.4312406109564	-5281.786868798328	628.0585702082943	1380.9414297917056	4302.537804530353	170.3536511880404	1838.6463488119596	517.5429875628737	9.325803379744036	6.834203882564904	13.241574533341366	0.2296993993891978	0.25058244148444375	0.33665426234076995	0.1830638967855887	0.3211792279457932	0.1799090985358129	0.22927944134126002	0.2696322321771327	0.206950057479473	0.2641480527650825	0.23732309978515476	0.29157878997029096	0.281683947118048	0.5271508553388499	1.9268306198089704	0.35188047773578823	0.09629399364842875	2.5518255286157787	5.283190882625293E-4	4.1016641245033853E-4	4.5144364652355664E-4	0.6930573096220177	0.013233557654952108	-5281.786868798328	0.0	-509.9827870861499
950000	-5793.507770334382	-504.57075417412557	-5288.9370161602565	534.0659912618347	1474.9340087381652	3859.7655339374164	131.21672177433013	1877.7832782256698	419.34172922958857	12.749002612543178	2.056480494664563	12.257404623625613	0.2742106299936319	0.2488195282604838	0.33236721210498577	0.1446026296408985	0.27394212110319416	0.22981216804041626	0.25846175318741377	0.23778395766897453	0.23213183466743317	0.2394566923098448	0.23275234743247125	0.29565912559025187	0.22739870858733016	0.36870937932940245	2.8604319531078928	0.3169287574312929	0.08357771833760888	2.599493524231094	5.755844140714935E-4	4.687576054151682E-4	4.8739899494246446E-4	0.8576051658579404	-0.029004005930732123	-5288.9370161602565	0.0	-491.86692458618063
