# BEAST v1.10.0 Prerelease #VEME2017
# Generated Wed Aug 23 09:03:48 BST 2017 [seed=1503475403637]
# -beagle
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Americas)	age(root)	age(Americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
2870000	-5936.422992144637	-604.5437003557295	-5331.879291788908	1395.6036251175344	410.17267824858277	613.3963748824656	1598.8273217514172	1458.0046175705345	7.459166480273732	4.655848967948154	14.96350196165044	0.24131653140189008	0.24549129636490422	0.25255682683599107	0.2606353453972166	0.25204116485666705	0.02610798130617732	2.1726865053633992	0.3651515550672028	0.10017250037891448	2.5346759445538942	2.0619518075185007E-4	2.061951807518501E-4	-5331.879291788908	0.0	-573.1670288005248
2880000	-5948.737228920125	-609.9778360152866	-5338.759392904838	1353.4551305404295	414.33162679347896	655.5448694595705	1594.668373206521	1549.7922640841753	8.762361873724378	9.19939280217435	11.525950045318556	0.2439912080247026	0.22447582472187044	0.2716305178611238	0.259902449392305	0.2586127072939281	1.4432572715160326	2.586927879514737	0.3198331160201975	0.07471700072391049	2.605449883255902	1.91306084035184E-4	1.91306084035184E-4	-5338.759392904838	0.0	-574.6044657378579
2890000	-5953.266739941566	-611.3078019999799	-5341.958937941586	1347.9471538695016	387.5891855671807	661.0528461304984	1621.4108144328193	1138.6871625493147	7.78158600761754	6.30741982572769	12.707334373563084	0.2501804018045105	0.23410454846899958	0.27737812330612593	0.2383369264203658	0.2183990067146139	0.26201629701208606	1.9434953018120082	0.3734172962835685	0.12512471233265204	2.5014579913837904	1.8646964161787025E-4	1.864696416178702E-4	-5341.958937941586	0.0	-580.0275917417079
2900000	-5943.300202081222	-603.8552092110268	-5339.444992870195	1101.2504512390492	373.31785163644776	907.7495487609508	1635.6821483635522	1211.7010371050908	13.60923643545465	6.983439774337981	13.214796810086932	0.24827132714697692	0.24670190984331677	0.2592870389936863	0.24573972401602168	0.19976725331516157	0.29333093011714867	3.3680185402570717	0.3824349755054548	0.11974810157640127	2.4978169229181564	2.190590840819237E-4	2.1905908408192368E-4	-5339.444992870195	0.0	-568.1932717732533
2910000	-5963.716966006066	-624.3764683714512	-5339.3404976346155	1861.2557260099168	544.4555865898766	147.74427399008323	1464.5444134101235	1780.7480297989237	9.979787641043462	6.715727380060796	13.620348630366944	0.24966162362479474	0.25398796343972885	0.23564815140318537	0.26070226153229276	0.21040615591027195	0.22900411123995676	2.5007495640546886	0.40087585465148884	0.09775969782014655	2.501364447528376	1.4308140290066144E-4	1.4308140290066146E-4	-5339.3404976346155	0.0	-591.4054176073378
2920000	-5947.429114692751	-599.6182046113225	-5347.810910081428	1123.5271259409114	321.44221719578354	885.4728740590886	1687.5577828042165	976.209419948017	8.882872222623131	8.468391156328867	12.861347823904273	0.23528972558711728	0.25007603971812276	0.2595064855508801	0.2551277491438815	0.20969004233180308	0.2789084777516447	2.5626168833128915	0.32682351807758897	0.14720952745616261	2.5259669544662593	2.2294729631994263E-4	2.2294729631994257E-4	-5347.810910081428	0.0	-566.2602636270273
2930000	-5934.41489389248	-591.8919028321494	-5342.52299106033	1149.6231572704041	382.9836720307441	859.3768427295959	1626.0163279692558	1100.0031830013531	9.586535710869455	6.185055830346023	11.623616336314118	0.23963182613512818	0.2360217425605061	0.260833527416088	0.26351290388827925	0.32094856900511437	0.5412613512164385	1.960532697093205	0.4178970706017869	0.09929854184605444	2.4828043875521684	2.4204675153468804E-4	2.420467515346879E-4	-5342.52299106033	0.0	-559.4499572895992
2940000	-5922.229951920335	-570.6180448963388	-5351.6119070239965	935.816570287926	306.2811356108281	1073.183429712074	1702.7188643891718	819.192631877327	9.612663002149192	4.096078398084067	13.122169685933695	0.23651989591603317	0.24107461660119975	0.27591348423231177	0.2464920032504569	0.18541743016150763	0.221925403587459	1.7900913574211554	0.35546252206043494	0.11240010887281301	2.532137369066761	2.8468111325260077E-4	2.8468111325260056E-4	-5351.6119070239965	0.0	-539.995997939359
2950000	-5924.369899416056	-570.8210913037449	-5353.548808112311	945.2973829199686	273.21418025845946	1063.7026170800314	1735.7858197415405	842.3292531357553	17.03486496018481	7.705153754669681	14.054831966435467	0.25702702765848007	0.23706921374512752	0.24612267338649596	0.25978108520989807	0.26370074334333043	0.6643725532020953	1.964016842287877	0.3330028069728027	0.12029370686424665	2.5467034861629605	3.0591190267013544E-4	3.0591190267013554E-4	-5353.548808112311	0.0	-536.4110352567461
2960000	-5924.453887098998	-586.2999495198949	-5338.1539375791035	1150.0850688372375	321.8970465934743	858.9149311627625	1687.1029534065258	976.7752049575527	8.571007204036029	5.627029221289107	12.889152288879494	0.2407384185053832	0.2435833674437937	0.268153075015663	0.2475251390351618	0.2741180416784536	0.09488223117535925	2.2326052618089354	0.34315731908834723	0.07890419424536245	2.5779384866663	2.29999861025493E-4	2.29999861025493E-4	-5338.1539375791035	0.0	-555.1269975928628
2970000	-5924.751643607918	-570.8431959128047	-5353.908447695113	979.6554937257351	257.77861338802205	1029.3445062742649	1751.221386611978	823.7304191401317	8.021705592502395	5.120730680727157	16.731208087385138	0.25216229227151504	0.23139171243937112	0.2373140803802964	0.2791319149088191	0.3572664370425567	0.4284704260232344	1.8804619956663486	0.2927785783268463	0.0908853460079489	2.6163360756652114	3.1371642973835196E-4	3.13716429738352E-4	-5353.908447695113	0.0	-538.9585941031373
2980000	-5936.077817914688	-578.8794548767321	-5357.198363037956	973.914069152651	273.16452572258663	1035.0859308473491	1735.8354742774134	1184.890074542341	11.580269133055985	9.108005380001718	10.931373461284284	0.25262686881424223	0.23652314109874165	0.25411598918732103	0.2567340008996967	0.24777690586098305	0.16541229565784366	1.8838067023234153	0.36656564672660136	0.08949826168830476	2.5439360915851013	2.9126181463457596E-4	2.9126181463457574E-4	-5357.198363037956	0.0	-546.5816813683361
2990000	-5940.444864352903	-575.3645577737421	-5365.080306579161	845.1711588222888	280.03702642239085	1163.8288411777112	1728.962973577609	777.045566262184	14.439480628837511	4.511784530692885	12.895653280862724	0.255033659990862	0.2377320056054086	0.2590939804276928	0.24814035397603812	0.21385792746042182	0.14695800324146696	1.7941243923070798	0.3757670394685784	0.09388779381816982	2.53034516671326	2.916133279868989E-4	2.916133279868991E-4	-5365.080306579161	0.0	-544.0645181746894
3000000	-5919.026335954346	-570.4604495853968	-5348.56588636895	1008.9519313968822	248.09082742225627	1000.0480686031178	1760.9091725777437	835.314196267188	15.062572574179185	7.41327116562844	12.11222644506341	0.2637814638713334	0.23036889998958704	0.2494809730408087	0.2563686630982725	0.2028391798118025	0.24094086723151711	1.9002878493984126	0.26815688542040717	0.08917054641609197	2.6426725681635084	2.9687338831689336E-4	2.9687338831689325E-4	-5348.56588636895	0.0	-538.2938459463442
3010000	-5927.128504345927	-594.1544296852385	-5332.9740746606885	1173.8025128860306	332.06206881479807	835.1974871139694	1676.937931185202	1080.555888562327	7.317520736496876	4.790114730015271	11.155616672639923	0.2559113852247395	0.2494454441003458	0.23937571542501043	0.25526745524990585	0.302645231173245	0.20678880554118628	2.4070045858882567	0.3729217980747119	0.1409812907123138	2.486096911212981	2.2083828825648964E-4	2.208382882564897E-4	-5332.9740746606885	0.0	-562.3972292211033
3020000	-5944.438070214383	-594.7491832587253	-5349.688886955657	1081.3856566339164	341.6721062293101	927.6143433660836	1667.32789377069	993.4309864107062	5.995263098371494	4.856245301426797	13.510428887152182	0.24922709466114099	0.26090881401151444	0.23564178911017136	0.25422230221717473	0.2950370855407706	0.2757622987018351	1.9255343528279438	0.30632294993051945	0.11166283773241013	2.5820142123370764	2.315428451610129E-4	2.3154284516101276E-4	-5349.688886955657	0.0	-564.1312505015062
3030000	-5947.614653459571	-607.2456438294327	-5340.369009630138	1408.8072251439032	348.64081016050227	600.1927748560968	1660.3591898394977	1363.2931352808541	9.03315305558405	7.66109089080501	12.39211763527639	0.27204194380387076	0.22582924815846353	0.25781283950548006	0.2443159685321871	0.19252155741956273	0.9513603811401983	2.65794832602129	0.40259417651020585	0.10673190259615195	2.4906739208936473	1.982627911184873E-4	1.9826279111848712E-4	-5340.369009630138	0.0	-572.5151622060154
3040000	-5935.672862908339	-596.8537856891583	-5338.819077219181	1093.5259307300128	315.1822670675608	915.4740692699872	1693.8177329324392	1164.7873333347763	11.788768660217626	8.423712457630792	11.403400704419967	0.25065468465379975	0.24052890497243173	0.2700168044273064	0.23879960594646363	0.21187594202554172	0.46567000747230597	1.4409891582273018	0.3212364925007819	0.09966882887453203	2.5790946786246924	2.0689520656319083E-4	2.0689520656319083E-4	-5338.819077219181	0.0	-565.5020588576983
3050000	-5945.285841762523	-601.8821791555386	-5343.403662606985	1141.6901657082885	353.8676628397733	867.3098342917115	1655.1323371602266	1454.6870985881333	8.15151343157906	2.880580733197312	12.709066135536139	0.24958675671187977	0.2330889959331969	0.26460237988810864	0.2527218674668162	0.23084684204591208	0.45869262790036713	1.5921768675295564	0.41468713110689026	0.09457873596923784	2.490734132923877	2.2472824431304448E-4	2.2472824431304443E-4	-5343.403662606985	0.0	-571.4840415838615
3060000	-5945.276408565352	-596.4330276705124	-5348.843380894839	1055.8665036227017	374.88652146979814	953.1334963772983	1634.113478530202	1370.254304888278	10.966914157236193	6.7646322097283775	14.032804480699118	0.23282674718627025	0.2529302868041956	0.25353584362081744	0.260707122388718	0.24548030660324024	0.1985424282998119	2.1020451734287633	0.29842892958360284	0.09764848850438622	2.603922581912016	2.269727060175246E-4	2.269727060175247E-4	-5348.843380894839	0.0	-564.044448757125
3070000	-5953.226542197434	-593.548367375936	-5359.678174821498	1075.7204239994926	370.0303103978871	933.2795760005074	1638.9696896021128	1136.1003425504532	7.962915437898912	6.746060069747452	12.775990767279962	0.24270229363118354	0.25856552751593154	0.25700558949215624	0.24172658936072994	0.23961635982452975	0.3928599838290477	2.082119846523426	0.4151616466212934	0.11745052632584188	2.4673878270528693	2.167883633433239E-4	2.1678836334332397E-4	-5359.678174821498	0.0	-561.4116561020284
3080000	-5978.147337932898	-629.8371284657801	-5348.310209467118	1509.9604516777754	442.2343560147275	499.0395483222246	1566.7656439852726	1803.81981599586	5.285695479565404	4.806700333584849	9.094121117892858	0.22862524754894795	0.25454603689397476	0.26574464592219693	0.2510840696348818	0.2511518167092024	0.05218334888653322	2.570174709112947	0.3426877929565193	0.09848461322462514	2.5588275938188603	1.4792119057298244E-4	1.479211905729825E-4	-5348.310209467118	0.0	-599.386920486399
3090000	-5941.024257765899	-609.4659452572206	-5331.558312508679	1391.7771018971027	422.19645770497016	617.2228981028973	1586.8035422950297	1265.2544951727334	11.725216048967113	9.322730074334201	11.23506813809469	0.24737497030790537	0.24020095000552708	0.24621176037461184	0.2662123193119572	0.2279509426200151	0.029333129075240435	2.8094054360321943	0.360286789383981	0.12105266449852625	2.5186605461174976	2.0969608305072083E-4	2.096960830507208E-4	-5331.558312508679	0.0	-575.4493464043334
3100000	-5983.638740111709	-639.0600540792108	-5344.578686032498	2024.6869503380758	576.0981446845514	-15.686950338075803	1432.9018553154488	2377.028293806209	8.516864536543386	9.71065185754323	10.683580839086913	0.251783035845154	0.24771978832516153	0.2388972105771462	0.26159996525253976	0.19667293175628475	0.14225007589519614	1.9095201057415956	0.35306093357785406	0.08908912897608223	2.5578499374460697	1.2548927866813043E-4	1.2548927866813046E-4	-5344.578686032498	0.0	-607.6228700359943
3110000	-5967.486273185931	-627.6860532279328	-5339.800219957999	1883.9125545867287	594.6585352487169	125.08744541327133	1414.3414647512832	2285.1732485681177	8.81193484489348	4.138019186946531	12.058525624248656	0.21457226019228987	0.24792829032922878	0.252323112823023	0.2851763366554598	0.22058481229763247	0.04098284385414915	1.7058242388443814	0.38650709216486995	0.091752410664499	2.5217404971706383	1.4519647870694498E-4	1.4519647870694507E-4	-5339.800219957999	0.0	-597.5845197315869
3120000	-5972.364678202887	-636.9585231905877	-5335.4061550123	1878.5082297423844	506.13449797255134	130.4917702576156	1502.8655020274487	2239.12529123333	7.9335029280428575	6.34626923937645	12.103086938277539	0.25907567255793357	0.23066665642344963	0.2590026164997405	0.2512550545188778	0.25699347836296815	0.3463477025435156	2.5443903312212877	0.35846556358853093	0.1195690480149815	2.521965388396495	1.3047836046904546E-4	1.3047836046904554E-4	-5335.4061550123	0.0	-604.0802580290608
3130000	-6000.933067250032	-647.1298256532726	-5353.803241596759	2010.1339160327734	648.9188157437002	-1.1339160327734135	1360.0811842562998	2767.0292522833474	14.16838288742351	7.644213981707008	13.320688641186281	0.23712174352031057	0.24484091289992846	0.2573263956529608	0.2607109479268019	0.19785210149864224	0.18249331670288502	1.9140262137729385	0.4729750095551307	0.06362470644517519	2.4634002839997016	1.3776325713342924E-4	1.3776325713342924E-4	-5353.803241596759	0.0	-614.3016529891004
3140000	-5988.995760968083	-649.3633052519283	-5339.632455716155	2017.520849734712	663.6084165964827	-8.520849734712101	1345.3915834035174	2565.8699226448493	7.721929218688677	7.9029268412540805	14.368177743075035	0.2549077474727378	0.25351104432616833	0.22374438413842646	0.267836824062669	0.2730580071279973	0.4317702561355752	2.0689974174140495	0.43427696813593114	0.10926977495772577	2.4564532569063497	1.1153563688584171E-4	1.1153563688584172E-4	-5339.632455716155	0.0	-616.5288710875252
3150000	-6006.2349729167745	-657.1092975812808	-5349.125675335494	2632.1590566019095	733.3961739926851	-623.1590566019095	1275.6038260073149	2499.855628138053	11.29018588794124	6.023522755922282	13.754563722204953	0.2608306887261354	0.24306660578056521	0.2425096776167122	0.2535930278765888	0.12318343856639216	0.036386361274796844	1.9907650348387496	0.36833880463076907	0.13203268520529968	2.4996285101639404	9.481703557832593E-5	9.481703557832593E-5	-5349.125675335494	0.0	-625.5015881558292
3160000	-5971.198247413649	-632.2280077878976	-5338.970239625752	1854.7465389417043	480.969802706897	154.25346105829567	1528.030197293103	1976.6321801289228	11.819503880484781	7.120899595630624	13.573070205812114	0.24412319987145625	0.22325266012424805	0.2697042828439762	0.2629198571603212	0.22498423686501898	0.034919150526140294	1.6052615371015688	0.36856751643621644	0.10024271707284987	2.5311897664909426	1.6319049151280557E-4	1.6319049151280554E-4	-5338.970239625752	0.0	-600.6071101627638
3170000	-5993.829969102201	-649.4939766399203	-5344.335992462281	2240.13321994301	666.1552162600227	-231.13321994300986	1342.8447837399772	2511.0210950156693	10.314533732567046	6.001999167476686	10.903096651280354	0.23499669087123579	0.2574795061311035	0.2655074834988435	0.2420163194988188	0.18540662170234432	0.9916973229272417	1.9415073271691339	0.36194207613078744	0.17618366004701103	2.461874263822212	1.1052074598658574E-4	1.1052074598658563E-4	-5344.335992462281	0.0	-616.1576027073705
